1,'goldenrod lace spring peru powder','Manufacturer#1','Brand#13','PROMO BURNISHED COPPER',7,'JUMBO PKG',901.00,'final deposits s'
2,'blush rosy metallic lemon navajo','Manufacturer#1','Brand#13','LARGE BRUSHED BRASS',1,'LG CASE',902.00,'final platelets hang f'
3,'dark green antique puff wheat','Manufacturer#4','Brand#42','STANDARD POLISHED BRASS',21,'WRAP CASE',903.00,'unusual excuses ac'
4,'chocolate metallic smoke ghost drab','Manufacturer#3','Brand#34','SMALL PLATED BRASS',14,'MED DRUM',904.00,'ironi'
5,'forest blush chiffon thistle chocolate','Manufacturer#3','Brand#32','STANDARD POLISHED TIN',15,'SM PKG',905.00,'pending, spe'
6,'white ivory azure firebrick black','Manufacturer#2','Brand#24','PROMO PLATED STEEL',4,'MED BAG',906.00,'pending pinto be'
7,'blue blanched tan indian olive','Manufacturer#1','Brand#11','SMALL PLATED COPPER',45,'SM BAG',907.00,'blithely ironic'
8,'ivory khaki cream midnight rosy','Manufacturer#4','Brand#44','PROMO BURNISHED TIN',41,'LG DRUM',908.00,'furiously eve'
9,'thistle rose moccasin light floral','Manufacturer#4','Brand#43','SMALL BURNISHED STEEL',12,'WRAP CASE',909.00,'thinly even request'
10,'floral moccasin royal powder burnished','Manufacturer#5','Brand#54','LARGE BURNISHED STEEL',44,'LG CAN',910.01,'bold, ironic '
11,'chocolate turquoise sandy snow misty','Manufacturer#2','Brand#25','STANDARD BURNISHED NICKEL',43,'WRAP BOX',911.01,'furiousl'
12,'peru ivory olive powder frosted','Manufacturer#3','Brand#33','MEDIUM ANODIZED STEEL',25,'JUMBO CASE',912.01,'quietly even foxes '
13,'ghost blue olive sky gainsboro','Manufacturer#5','Brand#55','MEDIUM BURNISHED NICKEL',1,'JUMBO PACK',913.01,'platelets poach blith'
14,'linen seashell burnished blue gainsboro','Manufacturer#1','Brand#13','SMALL POLISHED STEEL',28,'JUMBO BOX',914.01,'special, regular'
