1,185,'O',157097.37,'1996-01-02 00:00:00','5-LOW','Clerk#000000951',0,'blithely final dolphins solve-- blithely blithe packages nag blith'
2,391,'O',57118.04,'1996-12-01 00:00:00','1-URGENT','Clerk#000000880',0,'quickly regular depend'
3,617,'F',204796.81,'1993-10-14 00:00:00','5-LOW','Clerk#000000955',0,'deposits alongside of the dependencies are slowly about '
4,685,'O',42158.77,'1995-10-11 00:00:00','5-LOW','Clerk#000000124',0,'final requests detect slyly across the blithely bold pinto beans. eve'
5,223,'F',113336.86,'1994-07-30 00:00:00','5-LOW','Clerk#000000925',0,'even deposits cajole furiously. quickly spe'
6,280,'F',56087.04,'1992-02-21 00:00:00','4-NOT SPECIFIED','Clerk#000000058',0,'ironically bold asymptotes sleep blithely beyond the regular, clos'
7,196,'O',255631.97,'1996-01-10 00:00:00','2-HIGH','Clerk#000000470',0,'ironic, regular deposits are. ironic foxes sl'
32,652,'O',167208.54,'1995-07-16 00:00:00','2-HIGH','Clerk#000000616',0,'slyly final foxes are slyly. packag'
33,335,'F',122743.14,'1993-10-27 00:00:00','3-MEDIUM','Clerk#000000409',0,'packages maintain about the deposits; foxes hang after '
34,307,'O',58503.46,'1998-07-21 00:00:00','3-MEDIUM','Clerk#000000223',0,'quickly express asymptotes use. carefully final packages sleep f'
35,638,'O',202281.15,'1995-10-23 00:00:00','4-NOT SPECIFIED','Clerk#000000259',0,'fluffily regular pinto beans '
36,577,'O',57314.32,'1995-11-03 00:00:00','1-URGENT','Clerk#000000358',0,'carefully ironic accounts nag'
37,431,'F',138592.71,'1992-06-03 00:00:00','3-MEDIUM','Clerk#000000456',0,'express requests ar'
38,625,'O',76728.85,'1996-08-21 00:00:00','4-NOT SPECIFIED','Clerk#000000604',0,'slyly quick pinto beans detect flu'
39,409,'O',278228.60,'1996-09-20 00:00:00','3-MEDIUM','Clerk#000000659',0,'furiously unusual pinto beans above the furiously ironic asymptot'
64,161,'F',27072.91,'1994-07-16 00:00:00','3-MEDIUM','Clerk#000000661',0,'final deposits nag. blithely special deposits a'
65,82,'P',79045.07,'1995-03-18 00:00:00','1-URGENT','Clerk#000000632',0,'furiously even platelets boost ironic theodolites. even '
66,646,'F',123931.44,'1994-01-20 00:00:00','5-LOW','Clerk#000000743',0,'ironic requests are quickly about the carefully unusual a'
67,284,'O',161225.81,'1996-12-19 00:00:00','4-NOT SPECIFIED','Clerk#000000547',0,'regular, bold foxes across the even requests detect a'
68,143,'O',306072.21,'1998-04-18 00:00:00','3-MEDIUM','Clerk#000000440',0,'stealthy decoys nag; furiously'
69,424,'F',224145.33,'1994-06-04 00:00:00','4-NOT SPECIFIED','Clerk#000000330',0,'carefully regular theodolites exce'
70,322,'F',109087.70,'1993-12-18 00:00:00','5-LOW','Clerk#000000322',0,'blithely unusual pack'
